Entity,Code,Year, coal, gas, cement, oil,total,nuclear
Bangladesh,BGD,1971,551603,596046,11288,2446895,3605832,0
Bangladesh,BGD,1972,355408,714480,10465,2425568,3505921,0
Bangladesh,BGD,1973,461664,1143168,13662,2931200,4549694,0
Bangladesh,BGD,1974,410691,1382416,40142,2819835,4653084,0
Bangladesh,BGD,1975,472656,963632,75201,3345232,4856721,0
Bangladesh,BGD,1976,447302,1411569,67174,3629750,5555795,0
Bangladesh,BGD,1977,501968,1579184,131197,3572400,5784749,0
Bangladesh,BGD,1978,421360,1674448,140337,3748272,5984417,0
Bangladesh,BGD,1979,359072,1916272,131026,4206272,6612642,0
Bangladesh,BGD,1980,446794,2215656,133563,4801199,7597212,0
Bangladesh,BGD,1981,465328,2440224,133104,4847472,7886128,0
Bangladesh,BGD,1982,567678,3164347,121347,4698908,8552280,0
Bangladesh,BGD,1983,304112,3521104,112818,4250240,8188274,0
Bangladesh,BGD,1984,117248,4466416,96688,4396800,9077152,0
Bangladesh,BGD,1985,186797,5083810,83799,4834748,10189154,0
Bangladesh,BGD,1986,282128,5734160,98693,5290816,11405797,0
Bangladesh,BGD,1987,443344,5928352,100565,5327456,11799717,0
Bangladesh,BGD,1988,381056,6998240,97502,6001632,13478430,0
Bangladesh,BGD,1989,102592,7415936,96687,5767136,13382351,0
Bangladesh,BGD,1990,1069611,7575190,100052,5337065,14081918,0
Bangladesh,BGD,1991,340752,9057408,77798,5265168,14741126,0
Bangladesh,BGD,1992,322432,9607008,75100,5375088,15379628,0
Bangladesh,BGD,1993,120912,10391104,72401,5477680,16062097,0
Bangladesh,BGD,1994,98949,11474373,71602,5892939,17537863,0
Bangladesh,BGD,1995,1220112,13029184,68815,6723440,21041551,0
Bangladesh,BGD,1996,677840,13498176,152943,7163120,21492079,0
Bangladesh,BGD,1997,1227248,13261601,229742,8407562,23126153,0
Bangladesh,BGD,1998,351799,14324809,269110,8252614,23198332,0
Bangladesh,BGD,1999,175872,15615968,431449,8852224,25075513,0
Bangladesh,BGD,2000,1253088,16880048,704325,7687072,26524533,0
Bangladesh,BGD,2001,1330032,18902576,935229,9867152,31034989,0
Bangladesh,BGD,2002,1329886,19886008,884164,9880723,31980781,0
Bangladesh,BGD,2003,1366672,21390432,834665,9867152,33458921,0
Bangladesh,BGD,2004,1450802,23088264,784993,10620895,35944954,0
Bangladesh,BGD,2005,1604682,24722359,750547,10598960,37676548,0
Bangladesh,BGD,2006,1810016,28256768,700000,10922384,41689168,0
Bangladesh,BGD,2007,2209392,29579472,682000,10171264,42642128,0
Bangladesh,BGD,2008,2469536,32224880,699000,9907456,45300872,0
Bangladesh,BGD,2009,3015472,35441872,699000,9991728,49148072,0
Bangladesh,BGD,2010,3073905,39396545,680000,10841103,53991553,0
Bangladesh,BGD,2011,2835936,39626160,695000,13399248,56556344,0
Bangladesh,BGD,2012,3422176,41714640,675000,14879504,60691320,0
Bangladesh,BGD,2013,3748070,43331788,742656,13959086,61781600,0
Bangladesh,BGD,2014,3506626,45934239,752496,15785314,65978675,0
Bangladesh,BGD,2015,8606736,48742192,796721,14688976,72834625,0
Bangladesh,BGD,2016,6074912,53549360,796721,15436432,75857425,0
Bangladesh,BGD,2017,7152128,53666608,796721,18708384,80323841,0
Bangladesh,BGD,2018,8174034,55354402,796721,21393649,85718806,0
Bangladesh,BGD,2019,11528032,69333698,796721,20503225,102161676,0
